EE50.SLX.8966.N701_N504.bam	EE50.SLX.8966.N701_N505.bam	EE50.SLX.8966.N701_N507.bam	EE50.SLX.8966.N701_N508.bam	EE50.SLX.8966.N702_N501.bam	EE50.SLX.8966.N702_N502.bam	EE50.SLX.8966.N702_N504.bam	EE50.SLX.8966.N702_N506.bam	EE50.SLX.8966.N703_N501.bam	EE50.SLX.8966.N703_N502.bam	EE50.SLX.8966.N703_N507.bam	EE50.SLX.8966.N704_N502.bam	EE50.SLX.8966.N704_N504.bam	EE50.SLX.8966.N704_N505.bam	EE50.SLX.8966.N704_N506.bam	EE50.SLX.8966.N704_N507.bam	EE50.SLX.8966.N704_N508.bam	EE50.SLX.8966.N705_N501.bam	EE50.SLX.8966.N705_N502.bam	EE50.SLX.8966.N705_N504.bam	EE50.SLX.8966.N705_N505.bam	EE50.SLX.8966.N705_N506.bam	EE50.SLX.8966.N705_N507.bam	EE50.SLX.8966.N706_N501.bam	EE50.SLX.8966.N706_N506.bam	EE50.SLX.8966.N706_N507.bam	EE50.SLX.8966.N707_N501.bam	EE50.SLX.8966.N707_N502.bam	EE50.SLX.8966.N707_N503.bam	EE50.SLX.8966.N707_N504.bam	EE50.SLX.8966.N707_N507.bam	EE50.SLX.8966.N707_N508.bam	EE50.SLX.8966.N708_N505.bam	EE50.SLX.8966.N708_N506.bam	EE50.SLX.8966.N708_N508.bam	EE50.SLX.8966.N709_N501.bam	EE50.SLX.8966.N709_N502.bam	EE50.SLX.8966.N709_N504.bam	EE50.SLX.8966.N709_N506.bam	EE50.SLX.8966.N709_N507.bam	EE50.SLX.8966.N709_N508.bam	EE50.SLX.8966.N710_N502.bam	EE50.SLX.8966.N710_N506.bam	EE50.SLX.8966.N710_N507.bam	EE50.SLX.8966.N710_N508.bam	EE50.SLX.8966.N711_N502.bam	EE50.SLX.8966.N711_N507.bam	EE50.SLX.8966.N712_N502.bam	EE50.SLX.8966.N712_N504.bam	EE50.SLX.8966.N712_N505.bam	EE50.SLX.8966.N712_N508.bam
CSTF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
HIPK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0
C11orf41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD59	0	0	0	0	34	0	0	0	0	0	0	50	0	20	1	1	0	0	0	0	0	19	0	0	0	0	0	206	0	0	0	0	18	59	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO3	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LMO2	1	0	0	0	0	0	1	0	0	0	0	0	0	94	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	118	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CAPRIN1	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APIP	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
PDHX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD44	2	28	12	1	0	432	3	0	172	31	201	3	0	5	4	4	2	1	335	3	1	55	138	1	0	790	107	2	93	41	1	8	3	1	871	10	132	1187	1518	477	0	2	2	45	3	0	10	0	93	1	1
FJX1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0
PRR5L	1	0	54	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	64	0	1	0	0	0	0	0	0	0	309	1	0	0	38	0	450	0	703	0	0	1	0	1	29	0	503	0	0	0
TRAF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
API5	0	0	0	0	9	0	0	1	0	0	0	0	0	40	0	0	60	217	0	281	0	0	114	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0
TTC17	1	52	0	0	89	0	1	0	0	0	0	0	0	0	1	1	47	9	0	1	0	10	0	1	0	0	0	0	0	441	4304	49	1	0	1	11	0	641	0	0	0	32	1	94	1	0	0	337	0	1	0
HSD17B12	0	15	0	0	0	0	108	0	0	0	13	0	0	0	1	0	0	0	0	0	0	71	0	0	0	0	0	0	0	132	0	0	0	0	0	11	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0
EXT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD82	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	11	2	0	0	29	0	0	0	0	0	0	0	0	22	0	0	43	0	0	0	0	18	0	41	145	0	0	0	0	0	0	0	0
TSPAN18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRY2	0	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	240	388	0	0	0	0	0	0	0	0
MAPK8IP1	0	157	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	37	0	0	0	0	0	428	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0
C11orf94	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	0	1	0	0	0	0	0	0	0
PEX16	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	13	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	21	0	0	34	0	0	0	0
GYLTL1B	71	0	0	0	0	0	0	0	0	0	262	0	0	26	0	0	0	0	0	0	0	2	0	0	0	27	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHF21A	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	6	22	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DGKZ	0	0	0	0	8	0	1	0	0	0	95	57	0	2	1	1	0	0	0	1	0	1	0	0	0	0	0	0	17	31	0	52	1	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	20
AMBRA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HARBI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0
ATG13	0	0	0	0	91	102	166	0	43	0	0	0	0	9	1	1	2	0	0	0	0	0	0	0	0	0	10	0	0	0	0	22	0	0	0	7	0	0	0	0	0	0	0	50	327	0	0	0	0	0	16
ARHGAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CKAP5	0	0	84	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	64	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	17	0	0	0
C11orf49	0	0	0	0	0	0	6	0	0	0	59	0	0	3	1	1	0	0	0	0	0	4	53	0	0	0	0	0	0	0	0	31	0	0	0	0	103	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ARFGAP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB2	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	123	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
NR1H3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MADD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0
MYBPC3	1	0	0	0	0	0	5	0	0	0	0	0	0	11	1	1	0	0	0	1	0	25	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	12	1	0	0	0	21	0	0
SPI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAPSN	1	0	0	0	0	0	1002	0	0	0	0	0	0	21	1	1	0	0	0	1	0	7	0	1	0	0	0	0	0	0	0	17	1	0	1	26	0	0	0	0	47	3	1	73	1	0	0	0	0	797	0
CELF1	360	63	0	0	0	0	204	0	0	0	0	0	0	153	1	1	0	240	0	1	0	5	0	2	0	130	48	0	0	0	0	19	1	0	0	3	0	0	0	0	50	3	0	0	1	0	0	0	0	0	0
NDUFS3	1427	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTCH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0
AGBL2	1	0	0	74	0	0	1	0	0	0	0	37	0	0	1	121	22	0	0	1	8	15	0	0	0	0	75	0	0	0	7	0	1	0	0	23	0	0	349	0	0	0	0	0	1	0	0	6	31	0	0
FNBP4	143	91	1	238	124	36	2	78	0	0	0	0	0	0	1133	3	0	12	148	2	2	1	21	1	0	343	382	0	0	0	1	31	2	1	1104	18	119	1	152	0	0	56	19	0	2	0	0	10	256	1	111
NUP160	0	0	0	0	131	0	295	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	609	0	0	0	0	0	0	0	0	0	0	0	0	351	0	0	0
PTPRJ	306	0	0	0	0	0	0	1	0	0	0	0	0	1	0	47	120	0	0	0	0	1	123	0	0	61	0	0	0	0	0	1	15	0	0	1	0	0	0	0	0	2	88	0	0	0	0	0	124	0	0
OR4X2	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
OR4C3	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR5AP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0
OR9G1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0
UBE2L6	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0
YPEL4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLP1	0	0	0	1	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTNND1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0
OR10Q1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DTX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
OR5A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	28	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OSBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STX3	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL16	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLAC1L	1	0	0	7	0	0	1	0	0	0	0	108	0	3	1	1	0	0	0	1	0	0	0	1	0	0	0	0	13	69	0	11	1	0	0	15	0	0	0	39	0	41	1	0	1	0	0	0	0	0	0
MS4A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MS4A14	1	0	1	0	0	0	1	72	0	0	0	0	0	0	2	2	0	1	0	1	1	28	0	1	0	0	0	0	0	0	1	0	1	0	1	11	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
MS4A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
MS4A13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MS4A8B	0	6	0	28	0	1	0	4	0	1693	0	0	2758	7	347	85	0	325	3916	5	991	193	1020	0	1087	934	0	6186	0	2	1287	1	2230	372	16	358	2725	937	0	0	1181	2934	27	1	0	0	2	588	1837	0	1
MS4A15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0
PGA4	0	0	5	0	0	16	7	0	0	0	10	0	0	0	0	2	11	0	0	0	0	0	114	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	9	0	0	4	103	0	3	0	0	0	146	0
PGA5	0	0	5	0	0	0	84	83	0	0	175	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	9	0	0	209	96	0	0	0	0	0	0	0
DDB1	1204	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	47	5	0	0	0	0	0	963	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
DAK	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	808	0	0	1	0	14	0	0	0	0	10	0	0	0	0	0	1	0	0	85	0	0	0	0	0	0	1	0	1	835	36	0	0	0	4
CYBASC3	958	0	0	0	0	0	0	31	32	0	906	0	0	0	1	1	649	0	0	0	0	30	56	2364	0	0	8	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	1356	127	0	0	274	0
TMEM138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
CPSF7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-286N22.8	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDHAF2	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYT7	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0
DAGLA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FADS1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BEST1	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INCENP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUT1	0	0	31	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EML3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GANAB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C11orf48	1	0	0	0	0	0	1	0	0	0	0	0	0	57	1	1	68	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	120	1	0	0	0	0	0	0
METTL12	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0
C11orf83	0	0	0	0	0	0	1	0	0	0	0	0	0	30	1	1	38	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	108	1	0	0	0	0	0	0
BSCL2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPUL2	0	0	60	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
TTC9C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB3	0	0	5	0	76	388	0	0	108	5	0	0	96	1	0	0	63	0	0	290	0	285	48	225	189	0	125	314	54	16	182	0	0	170	0	67	0	152	0	271	0	0	142	144	0	166	18	122	0	73	0
POLR2G	0	62	0	0	0	0	0	0	30	0	0	0	0	0	1	0	2	0	122	0	0	32	85	0	0	0	0	0	27	0	0	0	0	0	0	4	0	0	0	0	0	0	2144	0	0	129	16	0	0	0	0
NXF1	446	485	17	2335	1759	955	2338	234	0	1417	903	2087	5344	5505	1468	735	860	2631	2326	2761	2181	3361	1870	976	2824	2325	505	1031	3589	1951	543	7351	432	2705	283	587	823	1531	1719	1701	2021	2364	4178	1621	7079	0	391	465	770	1001	2110
STX5	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	8	0
WDR74	63	0	0	0	0	0	0	1	0	0	491	0	10	1	0	21	0	0	63	116	0	26	0	0	0	0	0	0	0	0	0	6	0	0	0	4	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0
CHRM1	0	44	0	466	99	0	1	0	0	525	221	118	0	66	962	1159	133	0	0	1	372	91	188	0	0	0	55	37	0	0	2	0	640	0	0	138	0	0	0	578	0	118	0	0	1	0	21	0	0	0	56
SLC22A6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC22A8	0	0	0	0	79	2804	0	16	0	0	0	115	0	150	0	0	14	0	0	0	0	132	0	0	0	0	0	532	0	124	665	0	0	0	1146	0	0	333	0	40	0	203	0	1	5140	189	0	0	0	0	0
SLC22A24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0
HRASLS5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
LGALS12	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATL3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C11orf84	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MARK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
NAA40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTUB1	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STIP1	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FERMT3	0	0	0	0	0	68	46	1	0	0	0	0	0	1	0	28	0	0	0	0	0	0	0	21	0	0	0	0	0	17	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	47	0	0	18	0	0
NUDT22	1	0	0	0	155	789	501	2	369	5	0	2	0	2	0	214	0	8	4	1	0	92	0	446	0	0	0	1	0	250	0	1	33	0	0	78	6	0	129	0	0	4	0	1	313	497	0	2	533	0	0
DNAJC4	0	0	0	0	0	0	0	0	326	0	0	0	0	3	0	0	0	0	0	0	0	49	0	149	0	0	0	0	0	0	0	0	65	0	0	4	0	0	85	0	0	0	0	0	746	0	0	11	0	0	0
SLC22A11	0	0	0	0	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	88	0	0
